Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
82.2,-0.3833,10.7178,0.0891,7.599,8.31,9.021,9.819,10.718,11.735,12.89,14.21,15.529
82.3,-0.3833,10.741,0.0891,7.615,8.328,9.04,9.84,10.741,11.76,12.918,14.24,15.562
82.4,-0.3833,10.7641,0.08909,7.632,8.346,9.06,9.861,10.764,11.785,12.946,14.27,15.595
82.5,-0.3833,10.7874,0.08908,7.649,8.364,9.08,9.883,10.787,11.811,12.974,14.301,15.628
82.6,-0.3833,10.8108,0.08907,7.666,8.383,9.1,9.904,10.811,11.836,13.001,14.331,15.661
82.7,-0.3833,10.8343,0.08907,7.682,8.401,9.119,9.926,10.834,11.862,13.03,14.363,15.695
82.8,-0.3833,10.8578,0.08906,7.699,8.419,9.139,9.947,10.858,11.888,13.058,14.393,15.729
82.9,-0.3833,10.8814,0.08905,7.716,8.438,9.159,9.969,10.881,11.913,13.086,14.424,15.762
83,-0.3833,10.9051,0.08905,7.733,8.456,9.179,9.991,10.905,11.939,13.114,14.455,15.797
83.1,-0.3833,10.9289,0.08904,7.75,8.475,9.199,10.013,10.929,11.965,13.143,14.486,15.83
83.2,-0.3833,10.9527,0.08903,7.767,8.493,9.22,10.035,10.953,11.991,13.171,14.518,15.864
83.3,-0.3833,10.9767,0.08903,7.784,8.512,9.24,10.057,10.977,12.017,13.2,14.549,15.899
83.4,-0.3833,11.0007,0.08902,7.802,8.531,9.26,10.079,11.001,12.044,13.228,14.581,15.933
83.5,-0.3833,11.0248,0.08902,7.819,8.55,9.281,10.101,11.025,12.07,13.257,14.613,15.968
83.6,-0.3833,11.0489,0.08901,7.836,8.569,9.301,10.123,11.049,12.096,13.286,14.644,16.002
83.7,-0.3833,11.0731,0.08901,7.853,8.587,9.321,10.145,11.073,12.123,13.315,14.676,16.037
83.8,-0.3833,11.0974,0.089,7.871,8.606,9.342,10.167,11.097,12.149,13.344,14.708,16.072
83.9,-0.3833,11.1218,0.089,7.888,8.625,9.363,10.19,11.122,12.176,13.373,14.74,16.107
84,-0.3833,11.1462,0.08899,7.906,8.644,9.383,10.212,11.146,12.203,13.402,14.772,16.142
84.1,-0.3833,11.1707,0.08899,7.923,8.663,9.404,10.235,11.171,12.229,13.432,14.805,16.177
